localized_display_name,distance,display_name,product_id,high_estimate,low_estimate,duration,estimate,currency_code
UberXL,1.59,UberXL,9502f87d-e0d0-488d-b84f-b8537538c339,13,10,480,$10-13,USD
Black SUV,1.59,Black SUV,16ecc8ec-7fe5-4c5f-9c68-ff9c696f7d5f,30,23,480,$23-30,USD
Pool,1.59,Pool,e61cd68e-bf67-405e-94c1-4993017c6afe,11,7,480,$7-10,USD
UberX,1.59,UberX,2143f90b-ce68-4f6d-a113-4872b207e626,11,8,480,$8-11,USD
Espanol,1.59,Espanol,1c770649-4755-45d0-b1de-e8cc6e8639bb,11,8,480,$8-11,USD
Select,1.59,Select,3bbfad48-dd77-45dc-9bb0-593821f1a5dd,17,13,480,$13-17,USD
Black,1.59,Black,e4578b16-6714-4cba-a131-f8cb56ad4555,20,15,480,$15-20,USD
Assist,1.59,Assist,876a0e0f-e232-4131-a6e2-355db8045030,11,8,480,$8-11,USD
WAV,1.59,WAV,aef7503f-8ab9-4470-8ed9-63d797fa721e,11,8,480,$8-11,USD
Lux,1.59,Lux,dee3ccd0-1736-4397-8799-53eb21ffe92e,36,29,480,$29-36,USD
